heure,niveau,tache
"2023-06-26 09:36:10,518",ERROR,N/A
"2023-06-26 09:36:10,518",ERROR,N/A
"2023-06-26 09:36:10,518",ERROR,N/A
"2023-06-26 09:36:10,518",ERROR,N/A
"2023-06-26 09:36:10,518",ERROR,N/A
"2023-06-26 09:36:10,518",ERROR,N/A
"2023-06-26 09:36:10,518",ERROR,N/A
"2023-06-26 09:36:10,518",ERROR,N/A
"2023-06-26 09:36:10,518",ERROR,N/A
"2023-06-26 09:36:10,518",ERROR,N/A
"2023-06-26 09:36:10,565",ERROR,N/A
"2023-06-26 09:36:10,569",ERROR,N/A
"2023-06-26 09:36:10,569",ERROR,N/A
"2023-06-26 09:36:10,569",ERROR,N/A
"2023-06-26 09:36:10,569",ERROR,N/A
"2023-06-26 09:36:10,570",ERROR,N/A
"2023-06-26 09:36:10,570",ERROR,N/A
"2023-06-26 09:36:10,570",ERROR,N/A
"2023-06-26 09:36:10,570",ERROR,N/A
"2023-06-26 09:36:10,570",ERROR,N/A
"2023-06-26 09:36:10,570",ERROR,N/A
"2023-06-26 09:36:10,570",ERROR,N/A
"2023-06-26 09:36:10,570",ERROR,N/A
"2023-06-26 09:36:10,570",ERROR,N/A
"2023-06-26 09:36:10,570",ERROR,N/A
"2023-06-26 09:36:10,570",ERROR,N/A
"2023-06-26 09:36:10,570",ERROR,N/A
"2023-06-26 09:36:10,571",ERROR,N/A
"2023-06-26 09:36:10,571",ERROR,N/A
"2023-06-26 09:36:10,582",ERROR,N/A
"2023-06-26 09:36:10,585",ERROR,N/A
"2023-06-26 09:36:10,585",ERROR,N/A
"2023-06-26 09:36:10,585",ERROR,N/A
"2023-06-26 09:36:10,585",ERROR,N/A
"2023-06-26 09:36:10,585",ERROR,N/A
"2023-06-26 09:36:10,586",ERROR,N/A
"2023-06-26 09:36:10,586",ERROR,N/A
"2023-06-26 09:36:10,586",ERROR,N/A
"2023-06-26 09:36:10,586",ERROR,N/A
"2023-06-26 09:36:10,586",ERROR,N/A
"2023-06-26 09:36:10,586",ERROR,N/A
"2023-06-26 09:36:10,586",ERROR,N/A
"2023-06-26 09:36:10,586",ERROR,N/A
"2023-06-26 09:36:10,586",ERROR,N/A
"2023-06-26 09:36:10,586",ERROR,N/A
"2023-06-26 09:36:10,586",ERROR,N/A
"2023-06-26 09:36:10,586",ERROR,N/A
"2023-06-26 09:36:10,586",ERROR,N/A
"2023-06-26 10:56:54,322",ERROR,N/A
"2023-06-26 10:56:54,325",ERROR,N/A
"2023-06-26 10:56:54,325",ERROR,N/A
"2023-06-26 10:56:54,325",ERROR,N/A
"2023-06-26 10:56:54,325",ERROR,N/A
"2023-06-26 10:56:54,325",ERROR,N/A
"2023-06-26 10:56:54,325",ERROR,N/A
"2023-06-26 10:56:54,325",ERROR,N/A
"2023-06-26 10:56:54,325",ERROR,N/A
"2023-06-26 10:56:54,325",ERROR,N/A
"2023-06-26 10:56:54,325",ERROR,N/A
"2023-06-26 10:56:54,325",ERROR,N/A
"2023-06-26 10:56:54,325",ERROR,N/A
"2023-06-26 10:56:54,325",ERROR, Exception: Error reading SSH protocol banner
"2023-06-26 10:56:54,325",ERROR,N/A
"2023-06-26 10:56:54,325",ERROR,N/A
"2023-06-26 10:56:54,325",ERROR,N/A
"2023-06-26 10:56:54,326",ERROR,N/A
"2023-06-26 10:56:54,326",ERROR,N/A
"2023-06-26 10:56:54,326",ERROR,N/A
"2023-06-26 10:56:54,326",ERROR,N/A
"2023-06-26 10:56:54,326",ERROR,N/A
"2023-06-26 10:56:54,326",ERROR,N/A
"2023-06-26 10:56:54,326",ERROR,N/A
"2023-06-26 10:56:54,326",ERROR,N/A
"2023-06-26 10:56:54,326",ERROR,N/A
"2023-06-26 10:56:54,326",ERROR,N/A
"2023-06-26 10:56:54,326",ERROR, ConnectionResetError: 
"2023-06-26 10:56:54,327",ERROR,N/A
"2023-06-26 10:56:54,327",ERROR,N/A
"2023-06-26 10:56:54,327",ERROR,N/A
"2023-06-26 10:56:54,327",ERROR,N/A
"2023-06-26 10:56:54,327",ERROR,N/A
"2023-06-26 10:56:54,327",ERROR,N/A
"2023-06-26 10:56:54,327",ERROR,N/A
"2023-06-26 10:56:54,327",ERROR,N/A
"2023-06-26 10:56:54,327",ERROR, paramiko.ssh_exception.SSHException: Error reading SSH protocol banner
"2023-06-26 10:56:54,327",ERROR,N/A
"2023-06-26 11:06:03,423",ERROR, Exception: Error reading SSH protocol banner
"2023-06-26 11:06:03,425",ERROR,N/A
"2023-06-26 11:06:03,429",ERROR,N/A
"2023-06-26 11:06:03,429",ERROR,N/A
"2023-06-26 11:06:03,429",ERROR,N/A
"2023-06-26 11:06:03,429",ERROR,N/A
"2023-06-26 11:06:03,429",ERROR,N/A
"2023-06-26 11:06:03,429",ERROR,N/A
"2023-06-26 11:06:03,429",ERROR,N/A
"2023-06-26 11:06:03,429",ERROR,N/A
"2023-06-26 11:06:03,429",ERROR,N/A
"2023-06-26 11:06:03,429",ERROR,N/A
"2023-06-26 11:06:03,430",ERROR,N/A
"2023-06-26 11:06:03,429",ERROR,N/A
"2023-06-26 11:06:03,430",ERROR,N/A
"2023-06-26 11:06:03,430",ERROR,N/A
"2023-06-26 11:06:03,430",ERROR,N/A
"2023-06-26 11:06:03,430",ERROR,N/A
"2023-06-26 11:06:03,430",ERROR,N/A
"2023-06-26 11:06:03,430",ERROR,N/A
"2023-06-26 11:06:03,430",ERROR,N/A
"2023-06-26 11:06:03,430",ERROR,N/A
"2023-06-26 11:06:03,430",ERROR,N/A
"2023-06-26 11:06:03,430",ERROR,N/A
"2023-06-26 11:06:03,430",ERROR,N/A
"2023-06-26 11:06:03,431",ERROR,N/A
"2023-06-26 11:06:03,431",ERROR,N/A
"2023-06-26 11:06:03,431",ERROR, ConnectionResetError: 
"2023-06-26 11:06:03,431",ERROR,N/A
"2023-06-26 11:06:03,431",ERROR,N/A
"2023-06-26 11:06:03,431",ERROR,N/A
"2023-06-26 11:06:03,431",ERROR,N/A
"2023-06-26 11:06:03,432",ERROR,N/A
"2023-06-26 11:06:03,432",ERROR,N/A
"2023-06-26 11:06:03,432",ERROR,N/A
"2023-06-26 11:06:03,432",ERROR,N/A
"2023-06-26 11:06:03,432",ERROR, paramiko.ssh_exception.SSHException: Error reading SSH protocol banner
"2023-06-26 11:06:03,432",ERROR,N/A
"2023-06-26 11:06:03,593",ERROR,N/A
"2023-06-26 11:06:03,594",ERROR,N/A
"2023-06-26 11:06:03,594",ERROR,N/A
"2023-06-26 11:06:03,594",ERROR,N/A
"2023-06-26 11:06:03,594",ERROR,N/A
"2023-06-26 11:06:03,594",ERROR,N/A
"2023-06-26 11:06:03,594",ERROR,N/A
"2023-06-26 11:06:03,594",ERROR,N/A
"2023-06-26 11:06:03,594",ERROR,N/A
"2023-06-26 11:06:03,594",ERROR,N/A
"2023-06-26 11:06:03,594",ERROR,N/A
"2023-06-26 11:06:03,594",ERROR,N/A
"2023-06-26 11:06:03,595",ERROR,N/A
"2023-06-26 11:06:03,595",ERROR,N/A
"2023-06-26 11:06:03,595",ERROR,N/A
"2023-06-26 11:06:03,595",ERROR,N/A
"2023-06-26 11:06:03,595",ERROR,N/A
"2023-06-26 11:06:03,595",ERROR,N/A
"2023-06-26 11:06:03,595",ERROR,N/A
"2023-06-26 11:06:03,595",ERROR,N/A
"2023-06-26 11:06:03,596",ERROR,N/A
"2023-06-26 11:06:03,596",ERROR,N/A
"2023-06-26 11:06:03,596",ERROR,N/A
"2023-06-26 11:06:03,596",ERROR,N/A
"2023-06-26 11:06:03,596",ERROR,N/A
"2023-06-26 11:06:03,596",ERROR,N/A
"2023-06-26 11:06:03,596",ERROR,N/A
"2023-06-26 11:06:03,596",ERROR,N/A
"2023-06-26 11:06:03,596",ERROR,N/A
"2023-06-26 11:06:03,596",ERROR,N/A
"2023-06-26 11:06:03,596",ERROR,N/A
"2023-06-26 11:06:03,596",ERROR,N/A
"2023-06-26 11:06:03,596",ERROR,N/A
"2023-06-26 11:06:03,596",ERROR,N/A
"2023-06-26 11:06:03,596",ERROR,N/A
"2023-06-26 11:06:03,596",ERROR,N/A
"2023-06-26 11:06:03,596",ERROR,N/A
"2023-06-26 11:06:03,596",ERROR,N/A
"2023-06-26 11:06:03,621",ERROR,N/A
"2023-06-26 11:06:03,624",ERROR,N/A
"2023-06-26 11:06:03,624",ERROR,N/A
"2023-06-26 11:06:03,625",ERROR,N/A
"2023-06-26 11:06:03,625",ERROR,N/A
"2023-06-26 11:06:03,625",ERROR,N/A
"2023-06-26 11:06:03,625",ERROR,N/A
"2023-06-26 11:06:03,625",ERROR,N/A
"2023-06-26 11:06:03,625",ERROR,N/A
"2023-06-26 11:06:03,625",ERROR,N/A
"2023-06-26 11:06:03,625",ERROR,N/A
"2023-06-26 11:06:03,625",ERROR,N/A
